"Município";"BCG";"Hepatite B  em crianças até 30 dias";"Rotavírus Humano";"Meningococo C";"Hepatite B";"Penta";"Pneumocócica";"Poliomielite";"Poliomielite 4 anos";"Febre Amarela";"Hepatite A";"Pneumocócica(1º ref)";"Meningococo C (1º ref)";"Poliomielite(1º ref)";"Tríplice Viral  D1";"Tríplice Viral  D2";"Tetra Viral(SRC+VZ)";"DTP";"DTP REF (4 e 6 anos)";"Tríplice Bacteriana(DTP)(1º ref)";"Sarampo";"Haemophilus influenzae b";"Dupla adulto e tríplice acelular gestante";"dTpa gestante";"Tetravalente (DTP/Hib) (TETRA)";"Ignorado";" Total"
"420455 CORREIA PINTO";"77,33";"40,44";"68,50";"61,41";"96,02";"90,30";"106,03";"103,14";"98,86";"29,85";"74,85";"100,49";"100,93";"89,81";"110,46";"82,79";"73,21";"95,16";"49,85";"72,44";"85,49";"27,57";"25,93";"36,37";"79,52";"71,74";"74,50"
"420460 CRICIUMA";"108,19";"78,55";"62,81";"67,92";"82,65";"76,00";"86,59";"90,80";"81,54";"7,78";"72,25";"84,07";"84,71";"75,60";"100,09";"72,66";"61,97";"86,30";"35,88";"71,31";"87,35";"25,19";"33,42";"34,34";"70,53";"72,26";"72,07"
"420470 CUNHA PORA";"97,50";"91,88";"74,50";"69,42";"98,22";"95,53";"107,28";"101,41";"99,09";"62,66";"92,25";"100,65";"101,96";"92,53";"110,17";"96,27";"86,74";"99,62";"65,09";"87,77";"86,20";"28,84";"38,28";"42,30";"73,51";"74,42";"80,14"
"420475 CUNHATAI";"89,34";"64,10";"83,52";"75,54";"104,08";"99,40";"116,93";"102,04";"88,64";"78,91";"102,56";"110,90";"107,05";"101,28";"130,85";"92,31";"71,15";"84,23";"52,44";"108,97";"65,79";"36,84";"46,15";"50,00";"98,21";"87,33";"88,39"
"420480 CURITIBANOS";"110,16";"62,93";"64,02";"63,38";"87,77";"84,80";"92,70";"99,26";"87,91";"32,62";"72,74";"91,20";"91,55";"84,93";"100,11";"85,28";"72,20";"90,45";"43,02";"81,45";"97,97";"25,82";"30,65";"29,85";"66,69";"73,32";"75,36"
"420490 DESCANSO";"96,33";"76,82";"65,71";"59,43";"88,04";"91,67";"95,37";"91,60";"75,74";"55,87";"84,64";"98,52";"100,13";"91,11";"106,64";"95,28";"80,05";"84,63";"62,50";"93,67";"80,98";"20,70";"49,35";"51,37";"66,81";"73,84";"76,50"
"420500 DIONISIO CERQUEIRA";"94,73";"61,61";"60,17";"60,63";"80,03";"78,16";"90,90";"89,11";"87,62";"61,75";"73,40";"83,26";"87,62";"77,71";"98,18";"74,59";"66,07";"82,34";"42,87";"76,08";"75,82";"25,21";"35,20";"30,69";"65,27";"72,08";"72,87"
"420510 DONA EMMA";"95,32";"84,58";"73,04";"72,08";"90,17";"99,57";"105,01";"100,88";"85,42";"11,86";"90,36";"100,96";"103,86";"96,39";"106,49";"106,02";"68,92";"93,71";"46,40";"95,18";"84,98";"21,63";"57,27";"56,38";"72,91";"72,52";"76,95"
"420515 DOUTOR PEDRINHO";"70,74";"9,49";"69,30";"63,84";"82,82";"84,86";"91,39";"91,11";"47,66";"23,50";"67,09";"93,35";"86,08";"68,99";"102,78";"69,30";"56,96";"85,70";"52,34";"76,58";"74,95";"25,11";"34,15";"32,01";"79,39";"75,39";"72,25"
"420517 ENTRE RIOS";"94,28";"86,76";"70,15";"74,94";"101,45";"111,06";"118,44";"100,94";"121,21";"44,82";"102,36";"122,46";"125,53";"115,60";"117,60";"114,66";"102,13";"86,10";"60,88";"114,18";"65,62";"37,71";"67,52";"74,36";"74,76";"86,33";"87,86"
"420519 ERMO";"70,73";"72,00";"59,89";"57,66";"79,95";"75,84";"93,44";"84,91";"77,24";"10,80";"65,33";"87,33";"85,00";"80,33";"90,54";"72,33";"63,00";"80,92";"45,89";"75,33";"60,26";"37,46";"47,29";"36,82";"70,93";"79,83";"73,37"
"420520 ERVAL VELHO";"119,88";"86,10";"72,71";"68,10";"100,07";"91,52";"103,37";"108,47";"100,00";"38,27";"84,85";"96,27";"96,06";"95,23";"111,66";"85,48";"76,76";"107,19";"52,05";"93,57";"128,68";"24,36";"43,48";"43,04";"81,83";"78,14";"82,79"
"420530 FAXINAL DOS GUEDES";"98,96";"76,31";"65,22";"62,91";"88,10";"90,61";"97,46";"102,13";"85,42";"34,23";"81,96";"96,86";"97,10";"89,57";"100,37";"96,78";"82,20";"93,01";"44,10";"88,16";"89,91";"27,12";"37,95";"53,89";"71,32";"77,71";"78,56"
"420535 FLOR DO SERTAO";"113,50";"54,23";"79,78";"75,52";"109,58";"105,29";"113,37";"112,69";"107,53";"84,86";"90,91";"124,03";"118,18";"106,49";"127,42";"113,64";"100,00";"99,72";"72,79";"101,30";"73,43";"50,35";"29,10";"58,97";"93,31";"98,04";"97,27"
"420540 FLORIANOPOLIS";"116,84";"48,92";"64,24";"83,18";"78,45";"64,48";"68,95";"86,08";"78,49";"6,42";"52,41";"59,97";"78,22";"65,29";"88,88";"57,16";"52,21";"84,96";"37,10";"62,64";"92,46";"28,88";"18,06";"34,00";"65,12";"67,52";"67,24"
"420543 FORMOSA DO SUL";"102,69";"85,19";"69,81";"72,77";"101,70";"98,88";"108,89";"108,38";"81,34";"55,79";"87,24";"110,29";"108,23";"102,06";"115,30";"94,24";"91,36";"100,46";"44,23";"96,71";"93,45";"29,71";"68,57";"65,24";"75,31";"79,45";"83,79"
"420545 FORQUILHINHA";"85,32";"76,07";"74,92";"78,00";"91,87";"87,70";"99,09";"95,75";"92,63";"10,04";"79,36";"94,50";"96,98";"86,12";"108,08";"87,32";"70,63";"92,00";"41,73";"73,95";"82,91";"25,69";"44,60";"39,20";"77,85";"76,31";"76,56"
"420550 FRAIBURGO";"104,41";"85,77";"66,18";"62,38";"93,39";"90,97";"95,85";"99,83";"87,42";"35,73";"82,68";"96,54";"98,33";"92,96";"105,92";"92,29";"79,86";"91,93";"41,55";"91,14";"95,91";"27,39";"60,68";"52,31";"71,80";"74,70";"78,21"
"420555 FREI ROGERIO";"52,74";"64,09";"62,94";"63,60";"95,86";"91,54";"100,63";"99,10";"92,42";"34,83";"86,15";"104,76";"103,46";"88,74";"118,07";"92,64";"78,79";"87,12";"67,68";"98,70";"66,67";"41,07";"34,00";"36,73";"74,93";"83,87";"80,56"
"420560 GALVAO";"89,02";"65,10";"59,62";"60,99";"84,91";"84,79";"95,51";"93,50";"93,94";"21,80";"73,96";"87,76";"93,75";"80,73";"106,72";"74,48";"69,27";"87,18";"52,85";"79,95";"84,48";"25,22";"38,84";"47,25";"65,94";"78,87";"75,88"
"420570 GAROPABA";"91,91";"54,20";"77,50";"72,19";"99,61";"89,76";"106,06";"108,53";"78,58";"10,69";"84,52";"90,13";"92,11";"81,63";"114,13";"85,38";"74,34";"106,65";"38,03";"76,84";"123,96";"30,41";"46,82";"41,19";"88,00";"84,10";"82,49"
"420580 GARUVA";"30,85";"1,14";"70,63";"64,56";"89,00";"86,94";"95,01";"95,17";"102,22";"11,00";"84,97";"91,37";"97,32";"101,20";"104,68";"95,95";"86,87";"87,51";"67,66";"92,86";"74,57";"25,34";"52,02";"40,27";"78,87";"70,99";"71,21"
"420590 GASPAR";"77,69";"58,78";"78,55";"82,76";"87,72";"99,77";"106,70";"93,95";"126,31";"16,20";"96,37";"92,81";"112,45";"103,53";"106,88";"107,60";"92,02";"82,30";"54,42";"91,50";"72,52";"27,51";"56,04";"52,42";"73,00";"72,61";"76,53"
"420600 GOVERNADOR CELSO RAMOS";"79,06";"39,33";"59,12";"54,65";"79,63";"76,21";"87,27";"90,85";"88,36";"7,90";"73,29";"88,53";"88,32";"74,31";"98,23";"76,27";"69,23";"86,04";"59,63";"73,95";"97,43";"27,74";"17,30";"23,25";"64,27";"77,84";"72,81"
"420610 GRAO PARA";"97,98";"94,30";"81,23";"77,49";"94,52";"100,14";"114,17";"102,11";"113,84";"12,41";"94,92";"113,87";"115,10";"101,39";"119,83";"108,01";"83,51";"94,34";"100,94";"106,93";"86,79";"25,50";"50,39";"67,49";"83,03";"76,33";"81,55"
"420620 GRAVATAL";"73,18";"43,67";"66,81";"54,42";"84,80";"76,90";"82,24";"91,09";"69,46";"10,23";"48,57";"73,44";"77,36";"63,81";"99,04";"61,23";"48,40";"84,91";"51,92";"56,51";"86,89";"24,87";"41,39";"31,39";"64,65";"74,48";"70,21"
"420630 GUABIRUBA";"59,55";"29,88";"84,03";"75,57";"95,40";"97,23";"103,26";"97,94";"81,22";"13,12";"82,55";"92,76";"100,60";"86,28";"108,85";"94,94";"78,48";"95,11";"53,45";"88,56";"73,89";"25,26";"36,30";"30,33";"84,32";"72,48";"74,81"
"420640 GUARACIABA";"94,15";"76,38";"64,52";"62,26";"90,39";"85,42";"91,68";"95,29";"66,88";"54,11";"75,62";"87,76";"90,57";"77,79";"100,96";"76,60";"71,51";"90,34";"37,28";"82,12";"85,10";"24,17";"26,87";"44,11";"70,64";"75,99";"76,58"
"420650 GUARAMIRIM";"99,59";"84,39";"77,52";"76,93";"94,99";"87,91";"96,46";"98,69";"101,76";"12,79";"81,35";"94,05";"93,74";"93,52";"107,11";"89,83";"83,69";"93,12";"51,83";"87,93";"86,75";"31,58";"42,04";"36,47";"78,76";"79,12";"79,91"
"420660 GUARUJA DO SUL";"106,75";"70,35";"73,68";"77,20";"109,04";"98,48";"108,83";"116,53";"95,32";"69,51";"83,09";"104,80";"101,04";"94,36";"128,90";"83,09";"69,94";"112,33";"63,48";"87,06";"107,42";"29,83";"44,17";"42,48";"81,06";"84,11";"88,07"
"420665 GUATAMBU";"97,45";"70,87";"71,32";"69,62";"92,49";"88,41";"100,43";"94,95";"94,64";"58,29";"76,59";"91,68";"89,86";"78,80";"101,13";"85,70";"78,80";"97,15";"46,91";"71,52";"105,42";"26,84";"33,08";"25,30";"78,99";"74,72";"78,05"
"420670 HERVAL D\'OESTE";"102,21";"74,32";"64,93";"62,01";"87,42";"85,40";"94,38";"97,35";"89,90";"33,64";"76,03";"87,47";"91,65";"79,31";"106,77";"82,51";"68,07";"91,87";"46,29";"78,22";"83,74";"26,19";"39,01";"47,65";"69,92";"73,56";"75,42"
"420675 IBIAM";"89,37";"74,19";"69,45";"69,63";"94,59";"88,73";"100,83";"94,59";"100,00";"40,72";"87,63";"101,08";"99,46";"83,33";"121,91";"98,92";"90,32";"89,69";"52,72";"86,02";"62,89";"38,14";"38,10";"48,50";"82,23";"82,93";"82,30"
"420680 IBICARE";"101,39";"90,27";"76,55";"75,05";"97,31";"106,36";"117,01";"104,82";"95,14";"33,18";"100,39";"113,62";"112,06";"113,23";"118,26";"113,62";"93,39";"98,10";"50,14";"112,06";"75,18";"23,42";"61,14";"72,49";"80,81";"78,28";"82,36"
"420690 IBIRAMA";"97,85";"49,10";"70,25";"63,88";"90,06";"78,73";"88,63";"95,45";"81,34";"6,99";"68,26";"86,45";"81,16";"64,50";"99,19";"73,87";"55,68";"91,33";"40,49";"76,75";"93,47";"27,37";"26,55";"28,41";"74,42";"73,65";"72,86"
"420700 ICARA";"99,81";"81,62";"65,81";"70,54";"85,07";"79,30";"92,36";"97,21";"69,99";"6,88";"76,25";"94,63";"94,24";"85,22";"99,49";"90,05";"77,93";"90,04";"30,55";"73,91";"86,49";"28,01";"48,23";"44,98";"76,43";"75,61";"75,32"
"420710 ILHOTA";"85,34";"59,75";"87,11";"83,43";"99,07";"93,16";"106,35";"109,47";"100,13";"10,87";"87,80";"106,82";"109,65";"103,38";"126,67";"102,27";"86,70";"102,22";"63,06";"90,35";"90,11";"25,18";"52,69";"44,19";"94,33";"86,24";"85,73"
"420720 IMARUI";"85,85";"57,44";"65,09";"65,45";"81,27";"87,35";"98,70";"90,56";"81,05";"7,86";"76,85";"92,72";"93,72";"85,34";"117,99";"89,86";"67,81";"79,14";"54,85";"85,12";"66,67";"19,45";"49,47";"45,35";"77,09";"74,98";"73,53"
"420730 IMBITUBA";"91,80";"61,22";"59,87";"55,46";"79,38";"63,56";"78,64";"86,67";"70,48";"5,48";"60,99";"72,21";"75,48";"68,70";"94,33";"65,72";"53,03";"80,47";"30,07";"62,13";"81,61";"24,64";"35,07";"33,08";"67,45";"71,37";"68,12"
"420740 IMBUIA";"113,00";"86,74";"67,14";"68,16";"102,75";"100,28";"107,96";"115,48";"89,22";"11,10";"90,02";"104,37";"104,37";"88,92";"121,17";"97,50";"75,35";"108,23";"84,71";"98,60";"132,45";"26,04";"28,06";"44,06";"83,64";"81,45";"85,12"
"420750 INDAIAL";"93,86";"69,70";"71,48";"69,15";"87,47";"83,19";"93,02";"90,66";"86,67";"12,62";"71,63";"88,72";"90,01";"81,69";"96,18";"80,39";"64,22";"84,56";"41,90";"75,18";"76,39";"29,12";"39,29";"41,03";"72,24";"68,61";"71,41"
"420757 IOMERE";"96,20";"75,48";"78,84";"77,06";"98,87";"107,64";"102,34";"101,83";"94,03";"46,84";"90,04";"112,64";"111,49";"92,72";"118,68";"101,53";"78,16";"96,73";"83,58";"105,36";"70,72";"42,79";"82,89";"76,92";"83,33";"80,81";"84,93"
"420760 IPIRA";"103,76";"89,93";"69,38";"65,15";"94,15";"92,76";"103,00";"101,01";"91,52";"31,52";"81,06";"96,40";"100,96";"84,65";"108,50";"90,89";"79,62";"93,19";"63,33";"87,05";"91,38";"30,03";"38,01";"47,70";"74,09";"76,17";"78,64"
"420765 IPORA DO OESTE";"99,20";"91,11";"67,46";"65,57";"92,48";"82,92";"93,93";"99,54";"90,95";"62,38";"80,60";"94,23";"92,15";"95,50";"101,47";"93,53";"73,79";"93,58";"53,96";"83,60";"104,23";"24,52";"45,04";"52,51";"68,59";"76,52";"79,63"
"420768 IPUACU";"113,06";"96,32";"60,06";"76,39";"101,47";"101,19";"107,31";"104,48";"112,62";"37,38";"101,75";"110,35";"107,54";"107,02";"104,10";"107,89";"97,11";"94,75";"73,45";"108,16";"72,69";"26,01";"75,70";"90,33";"82,78";"79,98";"84,83"
"420770 IPUMIRIM";"103,23";"85,03";"76,55";"72,21";"103,12";"96,64";"104,89";"103,69";"104,26";"34,44";"90,82";"82,39";"101,26";"101,64";"107,87";"97,61";"77,61";"99,45";"64,30";"85,03";"85,85";"33,96";"37,93";"43,66";"82,89";"77,26";"81,19"
"420775 IRACEMINHA";"95,62";"77,74";"61,31";"61,57";"87,52";"91,10";"96,61";"99,27";"74,68";"54,23";"91,10";"99,41";"101,19";"103,26";"113,30";"97,33";"91,69";"90,92";"46,24";"99,41";"91,50";"23,38";"71,59";"59,78";"72,48";"79,17";"80,65"
"420780 IRANI";"100,19";"92,76";"73,07";"70,24";"97,11";"97,94";"104,67";"98,70";"77,01";"34,90";"82,06";"107,44";"102,04";"98,51";"106,00";"107,34";"85,02";"92,14";"50,55";"100,40";"79,65";"27,41";"59,10";"51,17";"71,23";"75,36";"79,15"
"420785 IRATI";"90,71";"77,78";"67,22";"71,77";"87,26";"110,36";"109,52";"98,92";"97,06";"45,25";"75,85";"100,97";"103,38";"81,16";"108,17";"91,30";"84,54";"91,60";"62,50";"96,14";"83,67";"21,89";"43,58";"52,51";"71,13";"75,05";"77,79"
"420790 IRINEOPOLIS";"99,14";"19,40";"76,69";"68,43";"94,50";"90,63";"104,74";"102,33";"82,87";"35,27";"92,10";"95,61";"105,36";"100,00";"118,64";"109,22";"87,62";"95,94";"55,51";"100,97";"77,25";"26,37";"60,37";"51,63";"84,51";"78,93";"81,12"
"420800 ITA";"99,38";"121,24";"79,53";"82,68";"90,66";"116,19";"125,87";"97,77";"91,15";"36,24";"121,44";"132,26";"131,66";"131,06";"114,38";"133,87";"97,19";"85,62";"80,16";"126,65";"79,62";"22,07";"73,18";"68,24";"72,44";"74,57";"81,52"
"420810 ITAIOPOLIS";"92,74";"29,15";"70,83";"65,81";"95,41";"89,01";"99,24";"104,71";"80,52";"35,63";"84,17";"96,69";"97,01";"91,23";"120,58";"94,18";"79,82";"98,78";"40,17";"87,04";"107,06";"38,95";"37,99";"46,04";"79,09";"78,12";"79,93"
"420820 ITAJAI";"123,33";"96,41";"74,23";"92,42";"89,56";"88,85";"99,67";"101,85";"108,41";"10,76";"86,69";"94,85";"96,96";"87,45";"115,78";"94,32";"80,14";"92,26";"45,63";"84,63";"108,28";"27,86";"59,59";"57,02";"75,65";"74,98";"80,42"
"420830 ITAPEMA";"89,26";"52,13";"79,72";"77,97";"96,15";"89,82";"103,31";"105,82";"106,13";"14,29";"84,45";"110,18";"99,15";"90,27";"111,03";"81,40";"69,32";"97,86";"64,38";"79,03";"131,13";"26,68";"48,80";"58,87";"83,23";"79,27";"81,21"
"420840 ITAPIRANGA";"97,74";"82,01";"68,61";"62,11";"94,11";"92,64";"98,11";"100,38";"85,90";"62,62";"78,56";"93,57";"93,87";"84,46";"99,72";"95,85";"79,91";"92,98";"57,47";"84,70";"92,61";"25,98";"29,24";"40,66";"68,91";"74,24";"78,23"
"420845 ITAPOA";"32,37";"3,09";"87,68";"82,93";"112,58";"106,80";"113,66";"119,52";"118,34";"18,13";"95,26";"107,93";"112,97";"109,58";"112,10";"116,37";"99,40";"117,59";"62,12";"105,54";"118,49";"44,42";"50,94";"47,56";"90,11";"82,91";"84,89"
"420850 ITUPORANGA";"109,63";"82,67";"71,71";"67,91";"93,90";"89,36";"100,97";"102,78";"103,41";"11,17";"79,75";"95,80";"96,85";"82,16";"103,21";"89,76";"70,35";"95,64";"46,14";"84,50";"96,15";"28,25";"10,04";"38,01";"71,92";"77,18";"78,11"
"420860 JABORA";"112,63";"93,81";"75,63";"73,33";"98,87";"97,57";"103,63";"105,45";"138,10";"38,70";"90,71";"105,09";"103,32";"104,87";"116,35";"104,42";"84,29";"100,24";"74,01";"104,87";"96,78";"31,02";"49,87";"62,40";"79,22";"77,24";"83,41"
"420870 JACINTO MACHADO";"110,86";"74,62";"61,84";"59,23";"82,54";"81,27";"91,76";"107,44";"44,34";"6,57";"71,87";"49,75";"59,66";"42,44";"120,50";"78,28";"71,97";"103,58";"35,23";"67,77";"136,18";"29,07";"21,96";"28,85";"78,08";"77,02";"76,58"
"420880 JAGUARUNA";"70,14";"51,83";"71,68";"74,39";"88,96";"86,52";"95,25";"93,79";"76,77";"10,60";"81,55";"91,01";"96,34";"87,70";"106,37";"91,01";"85,15";"89,57";"39,92";"78,35";"84,46";"24,41";"37,79";"46,40";"98,95";"75,99";"75,44"
"420890 JARAGUA DO SUL";"103,88";"99,94";"78,80";"99,97";"96,10";"94,05";"102,01";"100,33";"116,06";"13,79";"85,90";"95,34";"100,39";"97,91";"101,96";"98,65";"84,06";"92,80";"53,39";"93,18";"91,37";"32,45";"64,45";"57,40";"74,39";"74,75";"80,39"
"420895 JARDINOPOLIS";"96,76";"69,85";"61,63";"62,60";"93,04";"84,82";"90,88";"94,48";"97,47";"39,98";"69,85";"84,42";"87,44";"67,84";"104,49";"81,91";"77,89";"88,34";"54,09";"62,81";"87,70";"19,90";"28,90";"36,18";"66,59";"76,33";"75,85"
"420900 JOACABA";"107,02";"88,78";"64,31";"70,31";"88,22";"79,11";"88,96";"96,32";"92,17";"33,85";"77,49";"90,39";"89,65";"82,52";"97,57";"81,08";"63,06";"91,28";"47,54";"79,10";"102,68";"23,43";"38,70";"39,02";"66,39";"70,21";"74,10"
"420910 JOINVILLE";"116,05";"107,03";"71,24";"88,83";"91,13";"89,80";"97,02";"96,39";"104,36";"10,90";"85,17";"97,14";"96,00";"88,96";"103,86";"91,05";"79,22";"89,20";"47,94";"80,67";"87,94";"24,99";"52,29";"49,92";"70,59";"70,26";"76,16"
"420915 JOSE BOITEUX";"84,75";"58,37";"70,73";"70,93";"88,48";"91,19";"98,65";"98,23";"105,08";"22,25";"75,00";"100,61";"102,91";"87,38";"104,27";"81,67";"64,81";"92,03";"101,69";"88,71";"84,34";"23,86";"8,18";"26,78";"78,22";"71,84";"74,51"
"420917 JUPIA";"72,48";"56,92";"63,77";"59,81";"87,38";"91,71";"100,00";"86,38";"61,54";"35,18";"92,31";"93,33";"100,51";"96,92";"102,90";"106,15";"80,51";"74,71";"43,23";"101,03";"53,96";"34,72";"73,65";"65,87";"72,94";"79,55";"77,34"
"420920 LACERDOPOLIS";"103,12";"84,50";"70,65";"62,80";"99,32";"93,89";"102,79";"99,86";"119,63";"37,40";"96,50";"104,50";"110,50";"104,00";"113,17";"96,50";"82,00";"102,10";"108,41";"98,50";"100,00";"21,92";"26,29";"42,27";"80,44";"78,10";"81,87"
"420930 LAGES";"124,94";"77,74";"60,60";"67,26";"85,71";"72,20";"82,11";"94,66";"68,27";"20,17";"61,61";"71,18";"79,66";"64,79";"104,48";"66,48";"57,99";"91,74";"32,17";"66,38";"96,78";"25,93";"22,44";"26,10";"73,74";"78,01";"75,78"
"420940 LAGUNA";"92,32";"74,45";"64,53";"76,25";"90,65";"84,27";"90,67";"97,75";"70,80";"7,09";"67,01";"94,78";"95,50";"82,69";"113,99";"82,92";"71,65";"92,03";"31,44";"81,88";"85,09";"28,48";"35,68";"37,55";"76,92";"70,03";"72,47"
"420945 LAJEADO GRANDE";"104,32";"101,90";"81,60";"71,90";"99,21";"95,38";"105,91";"102,16";"118,18";"52,46";"96,84";"108,86";"108,86";"89,24";"101,39";"107,59";"82,91";"97,29";"69,53";"92,41";"95,91";"22,28";"61,42";"56,69";"82,77";"84,36";"86,46"
"420950 LAURENTINO";"44,80";"66,79";"74,17";"72,43";"89,83";"96,98";"99,81";"91,51";"147,94";"15,33";"93,14";"102,08";"103,80";"92,89";"100,97";"99,51";"72,30";"84,40";"55,31";"98,77";"71,91";"23,25";"37,06";"48,09";"69,02";"65,94";"71,15"
"420960 LAURO MULLER";"97,82";"84,31";"72,81";"64,11";"88,49";"90,41";"99,54";"98,29";"78,04";"7,37";"79,85";"93,65";"98,66";"79,67";"113,90";"85,10";"80,22";"90,63";"52,04";"83,88";"86,05";"25,86";"39,91";"37,42";"81,62";"78,73";"78,09"
"420970 LEBON REGIS";"97,64";"83,62";"63,11";"57,99";"83,15";"89,29";"100,87";"94,26";"59,13";"26,56";"76,07";"90,28";"95,89";"88,26";"109,91";"80,70";"75,39";"88,47";"35,84";"86,99";"68,57";"25,50";"34,97";"34,27";"81,66";"76,12";"75,45"
"420980 LEOBERTO LEAL";"98,33";"89,87";"69,21";"62,80";"90,49";"100,28";"112,00";"101,60";"89,15";"8,37";"98,69";"110,13";"121,24";"100,33";"116,16";"112,42";"96,41";"91,46";"44,39";"103,27";"86,46";"24,12";"45,93";"57,78";"72,50";"73,84";"77,25"
"420985 LINDOIA DO SUL";"100,65";"98,45";"72,89";"71,36";"91,74";"95,98";"101,02";"95,58";"85,32";"33,04";"90,51";"97,79";"97,13";"104,19";"110,05";"96,91";"80,57";"91,78";"56,10";"98,23";"84,26";"22,36";"13,03";"47,87";"75,67";"78,76";"79,98"
"420990 LONTRAS";"80,00";"68,43";"76,50";"81,75";"90,34";"88,87";"101,58";"97,78";"98,80";"10,94";"80,32";"99,12";"98,83";"84,80";"108,57";"83,63";"68,50";"88,89";"61,04";"89,50";"85,82";"24,94";"37,54";"41,49";"79,38";"74,08";"76,06"
"421000 LUIZ ALVES";"77,71";"30,57";"82,60";"72,85";"99,52";"95,16";"107,88";"108,55";"79,66";"14,07";"82,64";"98,48";"99,65";"94,67";"118,64";"93,78";"82,71";"106,04";"39,49";"87,90";"96,04";"28,95";"42,53";"32,08";"87,51";"81,64";"81,18"
"421003 LUZERNA";"91,01";"92,66";"72,93";"76,28";"87,53";"94,59";"110,67";"88,92";"124,00";"37,98";"95,81";"104,40";"101,26";"95,39";"110,86";"92,24";"85,12";"80,95";"80,27";"96,65";"51,00";"27,04";"38,24";"49,77";"72,10";"71,36";"75,64"
"421005 MACIEIRA";"113,35";"84,42";"82,76";"74,37";"101,57";"104,02";"112,04";"109,69";"120,37";"36,78";"88,94";"106,53";"104,02";"90,95";"156,42";"97,99";"79,90";"102,27";"92,45";"103,02";"97,30";"30,50";"51,35";"59,46";"91,79";"93,04";"92,65"
"421010 MAFRA";"111,49";"110,27";"65,84";"61,31";"90,02";"79,69";"91,03";"94,31";"87,61";"31,85";"74,93";"82,67";"85,64";"82,03";"99,15";"87,04";"68,62";"89,58";"44,90";"78,11";"91,11";"30,97";"47,24";"42,88";"72,40";"72,11";"75,29"
"421020 MAJOR GERCINO";"104,15";"81,27";"79,23";"75,93";"86,05";"103,72";"110,17";"105,66";"83,70";"12,54";"95,76";"119,08";"125,44";"78,80";"114,49";"85,07";"76,87";"87,68";"58,57";"92,93";"91,13";"20,93";"47,27";"57,09";"61,17";"76,87";"78,96"
"421030 MAJOR VIEIRA";"100,80";"63,03";"72,53";"61,19";"86,92";"91,33";"103,74";"105,12";"61,67";"26,42";"79,61";"79,21";"93,29";"81,84";"104,74";"95,66";"92,24";"97,61";"30,18";"82,50";"83,13";"28,34";"40,80";"33,74";"80,23";"76,40";"77,35"
"421040 MARACAJA";"102,19";"72,82";"71,86";"64,92";"96,35";"89,95";"94,68";"112,93";"100,78";"10,94";"68,30";"91,54";"88,20";"96,90";"116,14";"78,31";"72,23";"105,82";"72,07";"83,55";"99,53";"32,52";"51,23";"45,24";"84,07";"82,46";"82,47"
"421050 MARAVILHA";"106,02";"98,88";"78,39";"73,17";"102,00";"102,03";"109,23";"105,01";"104,33";"67,35";"93,67";"101,90";"104,80";"98,27";"109,70";"96,22";"82,41";"100,30";"60,21";"84,49";"92,85";"23,48";"36,64";"40,18";"75,81";"75,80";"82,89"
"421055 MAREMA";"118,98";"106,15";"67,76";"74,81";"93,06";"113,89";"119,77";"106,55";"106,76";"28,29";"110,00";"113,08";"116,92";"109,23";"122,95";"108,46";"96,15";"100,52";"69,30";"112,31";"101,06";"16,01";"120,41";"119,39";"71,46";"73,27";"80,65"
"421060 MASSARANDUBA";"99,32";"85,86";"81,94";"82,80";"99,54";"101,74";"110,10";"105,34";"110,90";"14,29";"99,26";"106,76";"108,17";"113,09";"115,17";"109,34";"93,85";"96,73";"97,07";"107,74";"84,81";"30,52";"94,43";"87,61";"80,36";"74,98";"82,64"
"421070 MATOS COSTA";"110,38";"93,68";"65,07";"66,82";"83,97";"102,74";"103,84";"96,49";"71,30";"29,62";"89,47";"123,86";"124,21";"124,21";"117,69";"109,12";"99,65";"78,88";"55,56";"124,56";"71,92";"23,15";"46,07";"63,30";"79,95";"78,35";"80,49"
"421080 MELEIRO";"97,95";"70,07";"65,48";"61,30";"88,20";"90,48";"90,66";"95,37";"88,83";"9,69";"71,97";"94,60";"96,06";"85,40";"99,84";"90,80";"77,81";"88,45";"57,77";"85,69";"84,85";"26,26";"23,51";"41,22";"68,52";"74,85";"74,76"
"421085 MIRIM DOCE";"81,87";"78,49";"61,17";"56,13";"89,69";"98,59";"96,86";"98,84";"100,72";"10,67";"83,27";"104,38";"107,17";"87,25";"119,01";"102,39";"70,52";"89,54";"63,11";"94,42";"89,05";"24,25";"33,71";"37,50";"69,42";"78,49";"77,42"
"421090 MODELO";"96,02";"71,80";"64,34";"70,22";"90,85";"88,73";"93,75";"100,50";"74,57";"49,41";"85,64";"91,64";"98,43";"84,60";"105,08";"85,90";"78,85";"97,16";"39,82";"90,34";"83,25";"20,50";"51,54";"57,18";"70,47";"77,03";"78,46"
"421100 MONDAI";"102,08";"85,08";"69,18";"70,42";"91,94";"95,74";"99,01";"98,93";"90,71";"59,17";"87,36";"100,62";"103,21";"95,65";"103,91";"85,91";"75,96";"94,05";"51,98";"95,23";"83,12";"23,58";"37,59";"47,36";"72,51";"76,67";"79,92"
